Threads,Time(s),Checksum
1,0.028331,33526118.7210875191
2,0.018172,33526118.7210875191
4,0.010918,33526118.7210875191
8,0.012381,33526118.7210875191
12,0.013215,33526118.7210875191
16,0.012639,33526118.7210875191
